Word,3singular,Present Participle,Simple Past,Past Participle
be,is,,was,
have,has,,,
do,does,doing,did,done
would,,,,
will,will,willing,would,-
can,can,-,could,couth
know,knows,knowing,knew,known
see,sees,seeing,saw,seen
may,may,-,might,-
should,,,,
get,gets,getting,got,got
think,thinks,thinking,thought,thought
go,goes,going,went,gone
're,,,,
make,makes,making,made,made
must,,,,
take,takes,taking,took,taken
come,comes,coming,came,come
say,says,saying,said,said
put,puts,putting,put,put
want,wants,wanting,wanted,wanted
give,gives,giving,gave,given
look,looks,looking,looked,looked
find,finds,finding,found,found
need,needs,needing,needed,needed
like,likes,liking,liked,liked
set,sets,setting,set,set
use,uses,using,used,used
become,becomes,becoming,became,become
tell,tells,telling,told,told
keep,keeps,keeping,kept,kept
help,helps,helping,helped,helped
work,works,working,worked,worked
let,lets,letting,let,let
feel,feels,feeling,felt,felt
provide,provides,providing,provided,provided
believe,believes,believing,believed,believed
try,tries,trying,tried,tried
shall,shall,-,should,-
ask,asks,asking,asked,asked
remember,remembers,remembering,remembered,remembered
leave,leaves,leaving,left,left
show,shows,showing,showed,shown
pay,pays,paying,paid,paid
run,runs,running,ran,run
read,reads,reading,read,read
seem,seems,seeming,seemed,seemed
include,includes,including,included,included
bring,brings,bringing,brought,brought
understand,understands,understanding,understood,understood
start,starts,starting,started,started
play,plays,playing,played,played
cut,cuts,cutting,cut,cut
live,lives,living,lived,lived
meet,meets,meeting,met,met
move,moves,moving,moved,moved
hear,hears,hearing,heard,heard
call,calls,calling,called,called
stop,stops,stopping,stopped,stopped
turn,turns,turning,turned,turned
talk,talks,talking,talked,talked
buy,buys,buying,bought,bought
thank,thanks,thanking,thanked,thanked
change,changes,changing,changed,changed
continue,continues,continuing,continued,continued
consider,considers,considering,considered,considered
allow,allows,allowing,allowed,allowed
hope,hopes,hoping,hoped,hoped
produce,produces,producing,produced,produced
stay,stays,staying,stayed,stayed
appear,appears,appearing,appeared,appeared
write,writes,writing,wrote,written
hold,holds,holding,held,held
expect,expects,expecting,expected,expected
ensure,ensures,ensuring,ensured,ensured
suppose,supposes,supposing,supposed,supposed
wish,wishes,wishing,wished,wished
carry,carries,carrying,carried,carried
follow,follows,following,followed,followed
offer,offers,offering,offered,offered
support,supports,supporting,supported,supported
accept,accepts,accepting,accepted,accepted
speak,speaks,speaking,spoke,spoken
lead,leads,leading,leaded,leaded
remain,remains,remaining,remained,remained
stand,stands,standing,stood,stood
suggest,suggests,suggesting,suggested,suggested
hit,hits,hitting,hit,hit
develop,develops,developing,developed,developed
happen,happens,happening,happened,happened
sit,sits,sitting,sat,sat
win,wins,winning,won,won
love,loves,loving,loved,loved
add,adds,adding,added,added
learn,learns,learning,learned,learned
create,creates,creating,created,created
let's,,,,
agree,agrees,agreeing,agreed,agreed
apply,applies,applying,applied,applied
wait,waits,waiting,waited,waited
avoid,avoids,avoiding,avoided,avoided
send,sends,sending,sent,sent
form,forms,forming,formed,formed
explain,explains,explaining,explained,explained
return,returns,returning,returned,returned
sell,sells,selling,sold,sold
receive,receives,receiving,received,received
open,opens,opening,opened,opened
begin,begins,beginning,began,begun
eat,eats,eating,ate,eaten
increase,increases,increasing,increased,increased
voice,voices,voicing,voiced,voiced
spend,spends,spending,spent,spent
join,joins,joining,joined,joined
reduce,reduces,reducing,reduced,reduced
save,saves,saving,saved,saved
require,requires,requiring,required,required
fall,falls,falling,fell,fallen
